page (ascending by rating),1,2,3,4,5,6,7,8,9,10
VAE,18.72532539,18.69366299,19.09865912,18.1822336,18.78540028,18.86427897,18.72492175,18.41153226,18.27341488,18.64079915
page,11,12,13,14,15,16,17,18,19,20
VAE,18.51628774,18.5334048,18.80688178,18.17097221,18.52048991,18.28616559,18.42148826,18.62066638,18.15833265,18.46704839
page,21,22,23,24,25,26,27,28,29,30
VAE,18.02457023,18.0066913,18.10631857,18.6036114,18.3670569,18.12074136,18.14213098,18.58458715,18.27087251,18.34451523
page,31,32,33,34,35,36,37,38,39,40
VAE,18.24303559,17.58382474,18.30582765,18.29417419,18.04023903,18.11334773,18.14990021,18.551428,18.48532016,18.19870279
